taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain CY2018043002						MK929560		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Fernandes-2011						JQ282897		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Fernandes-2015						KP970241		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain IP1						HG939530		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain KTC2						KY855544		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Mdg2-1						HG939524		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Nor_BG						HG939527		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Nor_KD						HG939528		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain PFEU3_Sm2						HG939529		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Schmidt-2006						AM398199		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Seef1						HG939525		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS026						MK688541		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS026S085						KJ651822		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS1045						MK688544		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS107						KU848228		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS187						MK688542		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS351						KU848235		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain SKS988						MK688543		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain StJFp2						HG939531		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain StMgN						HG939526		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;Spirostomum teres;strain Tue2015_Spiro						MH822308		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage'	species	true						morphologically identified as S. teres but genetically distinct
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain aPFEU2						LN869958		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain cLPN2						LN870116		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain cPFEU1						LN870138		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain PF1a						HG939532		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Spirostomidae;Spirostomum;'Steres2 lineage';strain PFEU1_Spte						HG939553		
