taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;Condylostomides etoschensis;strain FL3						MK543443		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;Condylostomides grolieri	species							type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;'SLS-2007 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;'SLS-2007 lineage';strain NMF-2015						KP970236		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Condylostomides;'SLS-2007 lineage';strain SLS-2007						AM713188		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella	genus		Aescht 1999 in Foissner et al. 1999	Linostoma		FJ765378		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;Linostomella vorticella	species		(Ehrenberg 1833) Aescht 1999 in Foissner et al. 1999	Bursaria vorticella				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;Linostomella vorticella;strain CY2019010501						MN783328		voucher material
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain aPFEU1						LN869952		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain cPFEU1						LN870136		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'CL clade';Linostomella;'YY2012052201 lineage';strain YY2012052201						MT175516		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia	genus		Kahl 1932		Gruberiidae			single genus Gruberia in family Gruberiidae Shazib et al. 2014
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia binucleata	species		Dragesco 1960					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia foissneri	species		Chi et al. 2020					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia foissneri;strain CY2018122001						MN783327		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata	species		(Gruber 1884) Kahl 1932					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain Campello-Nunes-2017						MF498874		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain FXP09051702						MT175519		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain Hirt-1995						L31517		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS1057						MH024390		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS307S308						KJ651818		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS789						KX119520		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia lanceolata;strain SKS793						KX119521		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Gruberia;Gruberia uninucleata	species		Kahl 1932					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus	genus		Stein 1863	Spirostomina	Peritromidae	JX268906		single genus Peritromus in family Peritromidae Stein 1867
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;'BB2F04 lineage'	species	true				FJ000078		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus emmae	species							type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus faurei	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus faurei;strain Miao-2008						EU583993		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli	species					DQ103838; DQ103849; DQ103850; EF526730; EF526745; EF526750; EF526753; EF526768; EF526771; EF526774; EF526779; EF526805; EF526819; EF526820; EF526830; JX268876		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain CRM-2008-11-28-01(SCNU)						GQ926915		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain CY2018101501						MT175520		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain Fernandes-2015						KP970237		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain Petroni-2003						AJ537427		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Peritromus;Peritromus kahli;strain SKS320						KJ651830		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade'					stentorids (Miao et al. 2005)			18S-based group (Chi et al. 2020); Stentor, Blepharisma, Fabrea, Maristentor, and folliculinids form a well-supported clade at the exclusion of all other Heterotrichea
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'Bhalophilum lineage'	genus	true						B. halophilum does not branch with genus Blepharisma
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'Bhalophilum lineage';Blepharisma halophilum	species		Ruinen 1938 			KC486050; KC486747; KC486870; KC486928; KC486978; KC487651; KC487669; KC487803		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';'Bhalophilum lineage';Blepharisma halophilum;strain Cape-Verde						MF437020		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma	genus		Perty 1849	Apgaria; Compactum; Filiformis; Halteroides; Plagiotricha partim; Trichomecium; Ypsistoma	Blepharismidae			single genus Blepharisma in family Blepharismidae Jankowski in Small & Lynn 1985
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;'SBFMF clade';Blepharisma;'Bamericanum complex'								species in this group are not clearly distinguishable by 18S alone
