taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Apocolpodidium;Apocolpodidium macrostoma	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium	genus		Wilbert 1982	Foissneria				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium caudatum	species		Wilbert 1982					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium caudatum;strain Stoeck-2007-Namibia						EU264560		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium bradburyarum	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium horribile	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium microstoma	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Colpodidium;Colpodidium trichocystiferum	species		Foissner et al. 2002					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Pedohymena	genus		Foissner 1995					no genetic data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Nassulida;Colpodidiidae;Pedohymena;Pedohymena australiensis	species		Foissner 1995		Pedohymena australiense			
