taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'T41 lineage';strain T41						AJ971525		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'T55 lineage'	genus	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'T55 lineage';strain T55						AJ971530		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade'						JX268811; JX268820; JX268826; JX268835-JX268837; JX268842; JX268849; JX268868; JX268869; JX268879; JX268889; JX268900; JX268909-JX268911; JX268919; JX268920		18S-based group; Prototrachelocerca, Trachelocerca and Tracheloraphis form a well-supported clade at the exclusion of Apotrachelocerca, Kovalevaia and Trachelolophos
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Prototrachelocerca	genus		Foissner 1996					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Prototrachelocerca;Prototrachelocerca fasciolata	species		(Sauerbrey 1928) Foissner 1996	Trachelocerca fasciolata				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Prototrachelocerca;Prototrachelocerca fasciolata;strain YY2012041802						KJ609035		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Prototrachelocerca;strain T2						AJ971529		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Tracheloraphis	genus		Dragesco 1960	Trachelonema				polyphyletic genus; type species not yet sequenced
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Tracheloraphis;Tracheloraphis phoenicopterus	species		(Cohn 1866) Dragesco 1960	Trachelocerca phoenicopterus				type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';Tracheloraphis;strain Hirt-1995						L31520		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'Tdragescoi lineage'	genus	true				FN598449		candidate genus (unless it contains the type species of Tracheloraphis)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'Tdragescoi lineage';Tracheloraphis dragescoi	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'Tdragescoi lineage';Tracheloraphis dragescoi;strain XY2009042902						KJ768668		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'RM2-SGM28 lineage'	genus	true				AB505536		entirely environmental lineage so far
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'E01 lineage'	genus	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'E01 lineage';strain E01						AJ971532		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'L02 lineage'	genus	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;'core Kary';Trachelocercidae;'PTT clade';'L02 lineage';strain L02						AJ971528		
