taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';	UniEuk#137													
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';	UniEuk#139													
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Amaurochaete;	UniEuk#140		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Brefeldia;	UniEuk#141		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Comatricha;	UniEuk#142		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Enerthenema;	UniEuk#143		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'Comatricha clade';Paradiacheopsis;	UniEuk#144		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';	UniEuk#150													
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Colloderma;	UniEuk#151		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Diacheopsis;	UniEuk#152		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Elaeomyxa;	UniEuk#153		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Kelleromyxa;	UniEuk#154		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Lamproderma;	UniEuk#155		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;	UniEuk#156		order											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Diachea;	UniEuk#157		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Diderma;	UniEuk#158		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Didymium;	UniEuk#159		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Lepidoderma;	UniEuk#160		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Mucilago;	UniEuk#161		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;	UniEuk#164		family											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Badhamia;	UniEuk#166		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Craterium;	UniEuk#167		genus											
Eukaryota;Amorphea;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Columellidia;'PS clade';'LDP lineage';Physarales;Physaraceae;Fuligo;	UniEuk#168		genus											
